📡安徽移动-所有频道,#genre#
CCTV1,http://112.31.88.236:6610/120000001003/live/program/_ahbyfh-1_/live/cctv1hd4mc/index.m3u8?#http://120.210.193.151:8006/120000001003/live/program/_ahbyfh-1_/live/cctv1hd4mc/index.m3u8?
CCTV2,http://112.31.88.236:6610/120000001003/live/program/_ahbyfh-1_/live/cctv2hd8m/index.m3u8?#http://120.210.193.151:8006/120000001003/live/program/_ahbyfh-1_/live/cctv2hd8m/index.m3u8?
CCTV3,http://112.31.88.236:6610/120000001003/live/program/_ahbyfh-1_/live/cctv3hd/index.m3u8?#http://120.210.193.151:8006/120000001003/live/program/_ahbyfh-1_/live/cctv3hd/index.m3u8?
CCTV4,http://112.31.88.236:6610/120000001003/live/program/_ahbyfh-1_/live/XMTcctv-4hd/index.m3u8?#http://120.210.193.151:8006/120000001003/live/program/_ahbyfh-1_/live/XMTcctv-4hd/index.m3u8?
CCTV5,http://112.31.88.236:6610/120000001003/live/program/_ahbyfh-1_/live/cctv5hd/index.m3u8?#http://120.210.193.151:8006/120000001003/live/program/_ahbyfh-1_/live/cctv5hd/index.m3u8?
CCTV6,http://112.31.88.236:6610/120000001003/live/program/_ahbyfh-1_/live/cctv6hd8m/index.m3u8?#http://120.210.193.151:8006/120000001003/live/program/_ahbyfh-1_/live/cctv6hd8m/index.m3u8?
CCTV7,http://112.31.88.236:6610/120000001003/live/program/_ahbyfh-1_/live/cctv7hd8m/index.m3u8?#http://120.210.193.151:8006/120000001003/live/program/_ahbyfh-1_/live/cctv7hd8m/index.m3u8?
CCTV8,http://112.31.88.236:6610/120000001003/live/program/_ahbyfh-1_/live/cctv8hd8m/index.m3u8?#http://120.210.193.151:8006/120000001003/live/program/_ahbyfh-1_/live/cctv8hd8m/index.m3u8?
CCTV9,http://112.31.88.236:6610/120000001003/live/program/_ahbyfh-1_/live/cctv-9hd/index.m3u8?#http://120.210.193.151:8006/120000001003/live/program/_ahbyfh-1_/live/cctv-9hd/index.m3u8?
CCTV10,http://112.31.88.236:6610/120000001003/live/program/_ahbyfh-1_/live/4M-cctv10hd/index.m3u8?#http://120.210.193.151:8006/120000001003/live/program/_ahbyfh-1_/live/4M-cctv10hd/index.m3u8?
CCTV11,http://112.31.88.236:6610/120000001003/live/program/_ahbyfh-1_/live/cctv11/index.m3u8?#http://120.210.193.151:8006/120000001003/live/program/_ahbyfh-1_/live/cctv11/index.m3u8?
CCTV12,http://112.31.88.236:6610/120000001003/live/program/_ahbyfh-1_/live/cctv12hd8m/index.m3u8?#http://120.210.193.151:8006/120000001003/live/program/_ahbyfh-1_/live/cctv12hd8m/index.m3u8?
CCTV13,http://112.31.88.236:6610/120000001003/live/program/_ahbyfh-1_/live/cctv13xwhd8m/index.m3u8?#http://120.210.193.151:8006/120000001003/live/program/_ahbyfh-1_/live/cctv13xwhd8m/index.m3u8?
CCTV14,http://112.31.88.236:6610/120000001003/live/program/_ahbyfh-1_/live/cctvsehd8m/index.m3u8?#http://120.210.193.151:8006/120000001003/live/program/_ahbyfh-1_/live/cctvsehd8m/index.m3u8?
CCTV15,http://112.31.88.236:6610/120000001003/live/program/_ahbyfh-1_/live/cctvyysd4mc/index.m3u8?#http://120.210.193.151:8006/120000001003/live/program/_ahbyfh-1_/live/cctvyysd4mc/index.m3u8?
CCTV16,http://112.31.88.236:6610/120000001003/live/program/_ahbyfh-1_/live/cctv16hd8m/index.m3u8?#http://120.210.193.151:8006/120000001003/live/program/_ahbyfh-1_/live/cctv16hd8m/index.m3u8?
CCTV17,http://112.31.88.236:6610/120000001002/XMTcctv-17hd/index.m3u8?#http://120.210.193.151:8006/120000001002/XMTcctv-17hd/index.m3u8?
CCTV5+,http://112.31.88.236:6610/120000001003/live/program/_ahbyfh-1_/live/cctv5hd8m/index.m3u8?#http://120.210.193.151:8006/120000001003/live/program/_ahbyfh-1_/live/cctv5hd8m/index.m3u8?
安徽卫视,http://112.31.88.236:6610/120000001003/live/program/_ahbyfh-1_/live/ahwshd8m/index.m3u8?#http://120.210.193.151:8006/120000001003/live/program/_ahbyfh-1_/live/ahwshd8m/index.m3u8?
湖南卫视,http://112.31.88.236:6610/120000001003/live/program/_ahbyfh-1_/live/hunanwshd8m/index.m3u8?#http://120.210.193.151:8006/120000001003/live/program/_ahbyfh-1_/live/hunanwshd8m/index.m3u8?
东方卫视,http://112.31.88.236:6610/120000001003/live/program/_ahbyfh-1_/live/dfwshd8m/index.m3u8?#http://120.210.193.151:8006/120000001003/live/program/_ahbyfh-1_/live/dfwshd8m/index.m3u8?
北京卫视,http://112.31.88.236:6610/120000001003/live/program/_ahbyfh-1_/live/bjwshd8m/index.m3u8?#http://120.210.193.151:8006/120000001003/live/program/_ahbyfh-1_/live/bjwshd8m/index.m3u8?
浙江卫视,http://112.31.88.236:6610/120000001003/live/program/_ahbyfh-1_/live/zjwshd8m/index.m3u8?#http://120.210.193.151:8006/120000001003/live/program/_ahbyfh-1_/live/zjwshd8m/index.m3u8?
江苏卫视,http://112.31.88.236:6610/120000001003/live/program/_ahbyfh-1_/live/jswshd8m/index.m3u8?#http://120.210.193.151:8006/120000001003/live/program/_ahbyfh-1_/live/jswshd8m/index.m3u8?
天津卫视,http://112.31.88.236:6610/120000001003/live/program/_ahbyfh-1_/live/tjwshd8m/index.m3u8?#http://120.210.193.151:8006/120000001003/live/program/_ahbyfh-1_/live/tjwshd8m/index.m3u8?
山东卫视,http://112.31.88.236:6610/120000001002/XMTshandongwshd/index.m3u8?#http://120.210.193.151:8006/120000001002/XMTshandongwshd/index.m3u8?
辽宁卫视,http://112.31.88.236:6610/120000001003/live/program/_ahbyfh-1_/live/lnwshd8m/index.m3u8?#http://120.210.193.151:8006/120000001003/live/program/_ahbyfh-1_/live/lnwshd8m/index.m3u8?
深圳卫视,http://112.31.88.236:6610/120000001003/live/program/_ahbyfh-1_/live/szwshd8m/index.m3u8?#http://120.210.193.151:8006/120000001003/live/program/_ahbyfh-1_/live/szwshd8m/index.m3u8?
江西卫视,http://112.31.88.236:6610/120000001002/XMTjiangxiwshd/index.m3u8?#http://120.210.193.151:8006/120000001002/XMTjiangxiwshd/index.m3u8?
贵州卫视,http://112.31.88.236:6610/120000001003/live/program/_ahbyfh-1_/live/gzwshd8m/index.m3u8?#http://120.210.193.151:8006/120000001003/live/program/_ahbyfh-1_/live/gzwshd8m/index.m3u8?
吉林卫视,http://112.31.88.236:6610/120000001003/live/program/_ahbyfh-1_/live/jlwshd8m/index.m3u8?#http://120.210.193.151:8006/120000001003/live/program/_ahbyfh-1_/live/jlwshd8m/index.m3u8?
广东卫视,http://112.31.88.236:6610/120000001003/live/program/_ahbyfh-1_/live/gdwshd8m/index.m3u8?#http://120.210.193.151:8006/120000001003/live/program/_ahbyfh-1_/live/gdwshd8m/index.m3u8?
湖北卫视,http://112.31.88.236:6610/120000001003/live/program/_ahbyfh-1_/live/hubeiws8m/index.m3u8?#http://120.210.193.151:8006/120000001003/live/program/_ahbyfh-1_/live/hubeiws8m/index.m3u8?
河北卫视,http://112.31.88.236:6610/120000001003/live/program/_ahbyfh-1_/live/hbws/index.m3u8?#http://120.210.193.151:8006/120000001003/live/program/_ahbyfh-1_/live/hbws/index.m3u8?
山西卫视,http://112.31.88.236:6610/120000001003/live/program/_ahbyfh-1_/live/shanxiws/index.m3u8?#http://120.210.193.151:8006/120000001003/live/program/_ahbyfh-1_/live/shanxiws/index.m3u8?
重庆卫视,http://112.31.88.236:6610/120000001002/XMTchongqingwshd/index.m3u8?#http://120.210.193.151:8006/120000001002/XMTchongqingwshd/index.m3u8?
四川卫视,http://112.31.88.236:6610/120000001003/live/program/_ahbyfh-1_/live/scwshd/index.m3u8?#http://120.210.193.151:8006/120000001003/live/program/_ahbyfh-1_/live/scwshd/index.m3u8?
广西卫视,http://112.31.88.236:6610/120000001003/live/program/_ahbyfh-1_/live/gxwshd8m/index.m3u8?#http://120.210.193.151:8006/120000001003/live/program/_ahbyfh-1_/live/gxwshd8m/index.m3u8?
陕西卫视,http://112.31.88.236:6610/120000001003/live/program/_ahbyfh-1_/live/sxwssd4m/index.m3u8?#http://120.210.193.151:8006/120000001003/live/program/_ahbyfh-1_/live/sxwssd4m/index.m3u8?
甘肃卫视,http://112.31.88.236:6610/120000001003/live/program/_ahbyfh-1_/live/gswssd4m/index.m3u8?#http://120.210.193.151:8006/120000001003/live/program/_ahbyfh-1_/live/gswssd4m/index.m3u8?
宁夏卫视,http://112.31.88.236:6610/120000001003/live/program/_ahbyfh-1_/live/nxwssd4m/index.m3u8?#http://120.210.193.151:8006/120000001003/live/program/_ahbyfh-1_/live/nxwssd4m/index.m3u8?
青海卫视,http://112.31.88.236:6610/120000001003/live/program/_ahbyfh-1_/live/qhwssd4m/index.m3u8?#http://120.210.193.151:8006/120000001003/live/program/_ahbyfh-1_/live/qhwssd4m/index.m3u8?
海南卫视,http://112.31.88.236:6610/120000001003/live/program/_ahbyfh-1_/live/hainanwshd8m/index.m3u8?#http://120.210.193.151:8006/120000001003/live/program/_ahbyfh-1_/live/hainanwshd8m/index.m3u8?
新疆卫视,http://112.31.88.236:6610/120000001003/live/program/_ahbyfh-1_/live/xjwssd4m/index.m3u8?#http://120.210.193.151:8006/120000001003/live/program/_ahbyfh-1_/live/xjwssd4m/index.m3u8?
兵团卫视,http://112.31.88.236:6610/120000001003/live/program/_ahbyfh-1_/live/btwssd4m/index.m3u8?#http://120.210.193.151:8006/120000001003/live/program/_ahbyfh-1_/live/btwssd4m/index.m3u8?
黑龙江卫视,http://112.31.88.236:6610/120000001003/live/program/_ahbyfh-1_/live/hljwshd8m/index.m3u8?#http://120.210.193.151:8006/120000001003/live/program/_ahbyfh-1_/live/hljwshd8m/index.m3u8?
云南卫视,http://112.31.88.236:6610/120000001003/live/program/_ahbyfh-1_/live/ynwshd8m/index.m3u8?#http://120.210.193.151:8006/120000001003/live/program/_ahbyfh-1_/live/ynwshd8m/index.m3u8?
东南卫视,http://112.31.88.236:6610/120000001003/live/program/_ahbyfh-1_/live/dnwshd8m/index.m3u8?#http://120.210.193.151:8006/120000001003/live/program/_ahbyfh-1_/live/dnwshd8m/index.m3u8?
河南卫视,http://112.31.88.236:6610/120000001003/live/program/_ahbyfh-1_/live/hnwshd8m/index.m3u8?#http://120.210.193.151:8006/120000001003/live/program/_ahbyfh-1_/live/hnwshd8m/index.m3u8?
