📡所有频道,#genre#
CCTV1,http://119.176.28.185/outlivecloud-cdn.ysp.cctv.cn/ysp/2024078203.m3u8#http://119.176.28.185/outlivecloud-cdn.ysp.cctv.cn/ysp/2024117403.m3u8
CCTV2,http://119.176.28.185/outlivecloud-cdn.ysp.cctv.cn/ysp/2024075403.m3u8
CCTV3,http://119.176.28.185/outlivecloud-cdn.ysp.cctv.cn/ysp/2024068503.m3u8
CCTV4,http://119.176.28.185/outlivecloud-cdn.ysp.cctv.cn/ysp/2024078303.m3u8
CCTV5,http://119.176.28.185/outlivecloud-cdn.ysp.cctv.cn/ysp/2024078403.m3u8
CCTV6,http://mobilelive-ds.ysp.cctv.cn/ysp/2013693901.m3u8#http://mobilelive-ds.ysp.CCTV.cn/ysp/2013693901.m3u8#http://mobilelive-timeshift.ysp.cctv.cn/timeshift/ysp/2013693901/timeshift.m3u8?delay=0#http://mobilelive-timeshift.ysp.cctv.cn/timeshift/ysp/2013693901/timeshift.m3u8?delay=0#http://mobilelive-timeshift.ysp.cctv.cn/timeshift/ysp/2013693901/timeshift.m3u8?delay=0&cdn=5202
CCTV7,http://119.176.28.185/outlivecloud-cdn.ysp.cctv.cn/ysp/2024072003.m3u8
CCTV8,http://119.176.28.185/outlivecloud-cdn.ysp.cctv.cn/ysp/2024078503.m3u8#http://119.176.28.185/outlivecloud-cdn.ysp.cctv.cn/ysp/2024089803.m3u8
CCTV9,http://119.176.28.185/outlivecloud-cdn.ysp.cctv.cn/ysp/2024078603.m3u8
CCTV10,http://119.176.28.185/outlivecloud-cdn.ysp.cctv.cn/ysp/2024078703.m3u8
CCTV11,http://119.176.28.185/outlivecloud-cdn.ysp.cctv.cn/ysp/2024078803.m3u8
CCTV12,http://119.176.28.185/outlivecloud-cdn.ysp.cctv.cn/ysp/2024078903.m3u8
CCTV13,http://119.176.28.185/outlivecloud-cdn.ysp.cctv.cn/ysp/2024079003.m3u8
CCTV13,http://119.176.28.185/outlivecloud-cdn.ysp.cctv.cn/ysp/2024123103.m3u8
CCTV14,http://119.176.28.185/outlivecloud-cdn.ysp.cctv.cn/ysp/2024079103.m3u8
CCTV15,http://119.176.28.185/outlivecloud-cdn.ysp.cctv.cn/ysp/2024079203.m3u8
